SpeciesAuthor,lon_dd,lat_dd,damping_ratio
Cypripedium_fasciculatum,-123.5166666667,42.3333333333,2.0003392672
Cypripedium_fasciculatum,-123.1666666667,42.25,2.0715051989
Cypripedium_fasciculatum,-122.45,42.3333333333,1.7846159303
Dactylorhiza_lapponica,11.8333333333,62.6666666667,2.4080293085
Dactylorhiza_lapponica,9.0833333333,63.05,2.5999380451
Danthonia_sericea,-78.9333333333,36,1.5979504035
Danthonia_sericea,-78.9333333333,36,1.0666533333
Daucus_carota,5.8425,50.8294444444,1.3544313914
Dicerandra_frutescens,-81.3575,27.1561111111,2.2233742472
Dicerandra_frutescens,-81.3566666667,27.1577777778,2.6812002615
Dicerandra_frutescens,-81.3566666667,27.1577777778,1.8059384942
Dicerandra_frutescens,-81.3566666667,27.1577777778,1.9036705583
Dicerandra_frutescens,-81.3561111111,27.1594444444,1.8828019366
Dicerandra_frutescens,-81.3566666667,27.1577777778,2.7079725535
Dicerandra_frutescens,-81.3566666667,27.1577777778,2.2780690168
Digitalis_purpurea,6.05,51.4166666667,1.0961903525
Disporum_sessile,138.2527777778,36.2113888889,2.5716206307
Echinacea_angustifolia_2,-99.5,39.5666666667,1.548893625
Echinacea_angustifolia_2,-99,39.0833333333,1.2454419571
Echinacea_angustifolia_2,-99.5,39.5666666667,1.4857857405
Echinacea_angustifolia_2,-99.5,39.5666666667,1.548893625
Echinacea_angustifolia_2,-99,39.0833333333,1.2454419571
Eryngium_alpinum,6.55,45.4166666667,1.4857857405
Eryngium_alpinum,6.55,45.4166666667,1.5598059394
Eryngium_alpinum,6.55,45.4166666667,1.2391341694
Eryngium_alpinum,6.7166666667,45.3666666667,1.5340019102
Eryngium_alpinum,6.7166666667,45.3666666667,1.4366415278
Eryngium_alpinum,6.7166666667,45.3666666667,1.3829931408
Eryngium_alpinum,6.55,45.4166666667,1.2860282275
Eryngium_cuneifolium,-81.35,27.1333333333,1.8981370124
Erythronium_japonicum,138.2527777778,36.2113888889,2.6542359442
Eupatorium_perfoliatum,-74.4666666667,40.7166666667,5.4253249059
Eupatorium_perfoliatum,-74.45,40.0666666667,3.4019454523
Eupatorium_perfoliatum,-75,39.3666666667,17.9956719818
Eupatorium_resinosum,-74.5,39.8833333333,1.49254
Eupatorium_resinosum,-74.2166666667,39.8833333333,1.2123073538
Eupatorium_resinosum,-74.65,39.6833333333,4.5510639224
Gentiana_pneumonanthe,6.3925,52.8105555556,2.7716656352
Gentiana_pneumonanthe,6.3447222222,52.1566666667,1.5996864717
Geum_reptans,9.8805555556,46.605,1.8887900356
Geum_reptans,8.4119444444,46.5566666667,2.4369023692
Geum_rivale,17.1333333333,58.9333333333,1.4576477118
Geum_rivale,17.1333333333,58.9333333333,1.8473046694
Haplopappus_radiatus,-117.3,44.4,3.4443812328
Haplopappus_radiatus,-117.3,44.4,3.8591641271
Haplopappus_radiatus,-117.3,44.4,3.9129964874
Haplopappus_radiatus,-117.3,44.4,2.7645055708
Haplopappus_radiatus,-117.3,44.4,3.2614351658
Haplopappus_radiatus,-117.3,44.4,3.1558913902
Haplopappus_radiatus,-117.3,44.4,2.3661996307
Haplopappus_radiatus,-117.3,44.4,3.1130290618
Haplopappus_radiatus,-117.3,44.4,4.1872317332
Haplopappus_radiatus,-117.3,44.4,2.8963694161
Heliconia_acuminata,-60,-2.5,1.6477359572
Heliconia_acuminata,-60,-2.5,1.8887621324
Heliconia_acuminata,-60,-2.5,1.6659412405
Heliconia_acuminata,-60,-2.5,1.9848815011
Heliconia_acuminata,-60,-2.5,1.3919627666
Heliconia_acuminata,-60,-2.5,1.4219068109
Heliconia_acuminata,-60,-2.5,2.0950848821
